company_name,sector,company_size,initial_capital,establishment_date,active,death_date,x,y
天津市玺格汽车零部件制造有限公司,Parts,S(小型),48370.26,2007-06-15,True,,5.2237,-3.9786
天津先众汽车部件有限公司,Electronics,S(小型),60903.74,2019-01-28,True,,7.2154,9.3545
天津市宝群汽车零部件有限公司,Parts,S(小型),57112.52,2011-02-22,True,,-13.6177,-0.8025
天津市和平汽车装具厂,Parts,S(小型),28693.76,1980-03-01,True,,1.3317,-2.2613
天津瑞格尔汽车用品有限公司,Parts,S(小型),62924.81,2006-12-07,True,,4.0687,8.9642
天津盛洋汽车部件厂,Parts,XS(微型),6947.17,1994-05-04,True,,-9.3199,6.5955
天津市全兴汽车装饰工贸公司,Parts,S(小型),33765.61,1993-05-27,True,,-2.1214,-0.5187
天津市荣昌汽车灯具有限公司,Parts,S(小型),66497.47,2005-09-21,True,,-14.1094,-3.9081
天津三国牧野机械有限公司,Electronics,XS(微型),12305.18,2003-10-22,True,,5.3137,-14.2699
天津市赛奥德汽车零部件有限公司,Parts,S(小型),78453.38,2003-09-16,True,,-11.2235,-1.0769
德曼（天津）精密零件有限公司,Parts,S(小型),57634.39,2005-03-08,True,,9.6013,10.6762
天津伍幸化成汽车配件有限公司,Parts,M(中型),249592.0,2008-06-19,True,,1.7649,-13.4925
天津精丰机械有限公司,Electronics,XS(微型),5693.35,2009-04-09,True,,-3.4797,13.7245
天津英联汽车饰件有限公司,Electronics,S(小型),36145.34,2023-03-06,True,,17.3548,-7.1674
天津聚宸源汽车部件有限公司,Electronics,XS(微型),7221.67,2016-05-13,True,,-1.2774,19.5885
天津隽益汽车零部件有限公司,Electronics,S(小型),29619.07,2014-01-13,True,,10.4217,10.2634
金达智机（天津）汽车部件有限公司,Parts,XS(微型),19265.52,2014-12-11,True,,-10.0662,-2.0058
天津燕天新源汽车配件制造有限公司,Parts,S(小型),37652.47,2018-01-23,True,,1.3138,-13.5916
天津市津泊轴瓦有限公司,Electronics,XS(微型),17220.1,2001-08-01,True,,-13.3427,-3.396
天津市福业金属管路制品有限公司,Parts,S(小型),55230.24,1997-09-17,True,,1.0439,13.774
天津柏顺汽车零部件有限公司,Electronics,XS(微型),15048.53,2013-10-28,True,,16.4616,-6.5071
天津谊发伟业汽车部件有限责任公司,Parts,XS(微型),10036.62,2006-12-06,True,,-8.85,1.1278
天津市学斌金属制品加工有限公司,Parts,XS(微型),11125.02,2010-08-30,True,,5.6075,13.4854
天津恒瑞通达汽车部品有限公司,Parts,S(小型),44186.04,2016-01-18,True,,9.412,9.755
紫祥（天津）汽车零部件有限公司,Electronics,XS(微型),6554.17,2022-07-07,True,,11.6481,-10.5026
天津市巨马工贸有限公司,Parts,XS(微型),13612.24,2000-04-18,True,,6.3138,-3.4163
天津市精志诚拉线厂,Parts,XS(微型),7379.24,2003-05-12,True,,11.7675,-13.1552
天津市新天耐力汽车配件有限公司,Parts,XS(微型),5171.42,2011-02-18,True,,9.5853,-11.9257
天津津福汽车塑料件有限公司,Parts,M(中型),282595.85,1993-11-21,True,,5.9,4.6007
潍柴雷沃智慧农业科技股份有限公司天津分公司,Parts,S(小型),26596.53,2011-08-23,True,,9.2505,10.9926
